종목코드,종목명
300720,한일시멘트
137400,피엔티
124500,아이티센글로벌
001740,SK네트웍스
005300,롯데칠성
388210,씨엠티엑스
036830,솔브레인홀딩스
000080,하이트진로
043260,성호전자
415640,KB발해인프라
004000,롯데정밀화학
051915,LG화학우
056190,에스에프에이
249420,일동제약
185750,종근당
328130,루닛
100090,SK오션플랜트
078600,대주전자재료
000670,영풍
417200,LS머트리얼즈
000815,삼성화재우
285130,SK케미칼
071320,지역난방공사
006730,서부T&D
012630,HDC
192080,더블유게임즈
189300,인텔리안테크
089860,롯데렌탈
082640,동양생명
112040,위메이드
075580,세진중공업
348340,뉴로메카
137310,에스디바이오센서
009240,한샘
195870,해성디에스
365550,ESR켄달스퀘어리츠
280360,롯데웰푸드
048410,현대바이오
032190,다우데이타
006120,SK디스커버리
298050,HS효성첨단소재
181710,NHN
440110,파두
295310,에이치브이엠
348210,넥스틴
036810,에프에스티
241710,코스메카코리아
222080,씨아이에스
030190,NICE평가정보
006650,대한유화
499790,GS피앤엘
358570,지아이이노베이션
079160,CJ CGV
086900,메디톡스
281820,케이씨텍
003160,디아이
003240,태광산업
213420,덕산네오룩스
192400,쿠쿠홀딩스
490470,세미파이브
082920,비츠로셀
214430,아이쓰리시스템
376900,로킷헬스케어
389470,인벤티지랩
078160,메디포스트
100790,미래에셋벤처투자
00088K,한화3우B
064960,SNT모티브
042000,카페24
003470,유안타증권
486990,노타
336570,원텍
060250,NHN KCP
317450,명인제약
093370,후성
038500,삼표시멘트
052400,코나아이
376300,디어유
108320,LX세미콘
036530,SNT홀딩스
004490,세방전지
071055,한국금융지주우
125490,한라캐스트
225570,넥슨게임즈
100840,SNT에너지
000210,DL
383310,에코프로에이치엔
014620,성광벤드
090360,로보스타
488900,비츠로넥스텍
365340,성일하이텍
131290,티에스이
0001A0,덕양에너젠
468530,프로티나
066575,LG전자우
033500,동성화인텍
086450,동국제약
067160,SOOP
005690,파미셀
121600,나노신소재
399720,가온칩스
009450,경동나비엔
102710,이엔에프테크놀로지
102940,코오롱생명과학
009520,포스코엠텍
451800,한화리츠
476060,온코닉테라퓨틱스
069260,TKG휴켐스
007700,F&F홀딩스
060280,큐렉소
251970,펌텍코리아
014820,동원시스템즈
424870,이뮨온시아
025980,아난티
114090,GKL
003850,보령
003620,KG모빌리티
033100,제룡전기
002350,넥센타이어
211050,인카금융서비스
002020,코오롱
032500,케이엠더블유
214320,이노션
025540,한국단자
248070,솔루엠
023160,태광
381970,케이카
287840,인투셀
00104K,CJ4우(전환)
001680,대상
074600,원익QnC
001270,부국증권
053800,안랩
079900,전진건설로봇
005250,녹십자홀딩스
089970,브이엠
001060,JW중외제약
018290,브이티
039130,하나투어
005180,빙그레
041190,우리기술투자
372320,큐로셀
0120G0,삼양바이오팜
000640,동아쏘시오홀딩스
000370,한화손해보험
010780,아이에스동서
025320,시노펙스
293940,신한알파리츠
057050,현대홈쇼핑
478340,나라스페이스테크놀로지
064260,다날
278280,천보
019170,신풍제약
253590,네오셈
475150,SK이터닉스
420770,기가비스
950210,프레스티지바이오파마
268280,미원에스씨
127120,제이에스링크
008730,율촌화학
095660,네오위즈
383800,LX홀딩스
002840,미원상사
033240,자화전자
272290,이녹스첨단소재
101730,위메이드맥스
093320,케이아이엔엑스
058650,세아홀딩스
084110,휴온스글로벌
126340,비나텍
376270,HEM파마
005420,코스모화학
015750,성우하이텍
460930,현대힘스
094170,동운아나텍
001570,금양
456040,OCI
005880,대한해운
036620,감성코퍼레이션
030520,한글과컴퓨터
389650,넥스트바이오메디컬
006380,카프로
215600,신라젠
090460,비에이치
318060,그래피
044490,태웅
475960,토모큐브
079370,제우스
017940,E1
005389,현대차3우B
119850,지엔씨에너지
069080,웹젠
003545,대신증권우
002030,아세아
005810,풍산홀딩스
377740,바이오노트
322000,HD현대에너지솔루션
059090,미코
171090,선익시스템
001500,현대차증권
039440,에스티아이
356860,티엘비
002240,고려제강
004690,삼천리
228760,지노믹트리
027360,아주IB투자
089010,켐트로닉스
016610,DB증권
336370,솔루스첨단소재
455900,엔젤로보틱스
002960,한국쉘석유
045100,한양이엔지
003030,세아제강지주
093050,LF
042520,한스바이오메드
016380,KG스틸
053610,프로텍
105630,한세실업
220100,퓨쳐켐
252990,샘씨엔에스
368770,파이버프로
049630,재영솔루텍
494120,큐리오시스
192650,드림텍
094800,맵스리얼티
199800,툴젠
047920,HLB제약
090435,아모레퍼시픽우
484590,삼양컴텍
025900,동화기업
052020,에스티큐브
014830,유니드
083450,GST
450950,아스테라시스
117730,티로보틱스
006220,제주은행
053030,바이넥스
145720,덴티움
097520,엠씨넥스
284740,쿠쿠홈시스
105840,우진
041960,코미팜
058970,엠로
352480,씨앤씨인터내셔널
050890,쏠리드
271940,일진하이솔루스
000400,롯데손해보험
200710,에이디테크놀로지
170900,동아에스티
034310,NICE
104830,원익머트리얼즈
067630,HLB생명과학
006110,삼아알미늄
453340,현대그린푸드
017810,풀무원
230360,에코마케팅
475400,씨메스
200670,휴메딕스
145990,삼양사
179900,유티아이
394800,쓰리빌리언
026890,스틱인베스트먼트
016800,퍼시스
215200,메가스터디교육
003300,한일홀딩스
009900,명신산업
178920,PI첨단소재
016590,신대양제지
389500,에스비비테크
298830,슈어소프트테크
029530,신도리코
000070,삼양홀딩스
009410,태영건설
107640,한중엔시에스
194480,데브시스터즈
091810,티웨이항공
462350,이노스페이스
122640,예스티
425420,티에프이
183190,아세아시멘트
004700,조광피혁
031330,에스에이엠티
348950,제이알글로벌리츠
206650,유바이오로직스
010170,대한광통신
161000,애경케미칼
037270,YG PLUS
114190,강원에너지
046890,서울반도체
099190,아이센스
060720,KH바텍
309710,아이티켐
079940,가비아
002710,TCC스틸
001510,SK증권
448730,삼성FN리츠
340570,티앤엘
130660,한전산업
078340,컴투스
089890,코세스
015360,INVENI
099440,스맥
029460,케이씨
357120,코람코라이프인프라리츠
033640,네패스
041830,인바디
034950,한국기업평가
200130,콜마비앤에이치
089590,제주항공
460860,동국제강
448900,한국피아이엠
092200,디아이씨
005610,SPC삼립
094480,갤럭시아머니트리
005945,NH투자증권우
031430,신세계인터내셔날
344820,KCC글라스
464080,에스오에스랩
065660,안트로젠
101160,월덱스
304360,에스바이오메딕스
144510,지씨셀
060980,HL홀딩스
003280,흥아해운
020000,한섬
001200,유진투자증권
110990,디아이티
000650,천일고속
072710,농심홀딩스
0015G0,그린광학
314930,바이오다인
078350,한양디지텍
200880,서연이화
101360,에코앤드림
078130,국일제지
011500,한농화성
138610,나이벡
114810,한솔아이원스
077360,덕산하이메탈
317330,덕산테코피아
098070,한텍
180400,DXVX
459510,나우로보틱스
168360,펨트론
094360,칩스앤미디어
001390,KG케미칼
101930,인화정공
003000,부광약품
274090,켄코아에어로스페이스
013030,하이록코리아
354320,알멕
091700,파트론
001530,DI동일
403550,쏘카
304100,솔트룩스
462860,더즌
481070,에이유브랜즈
199430,케이엔알시스템
027410,BGF
003800,에이스침대
006910,보성파워텍
216080,제테마
015860,일진홀딩스
004310,현대약품
138490,코오롱ENP
014940,오리엔탈정공
215000,골프존
049070,인탑스
441270,파인엠텍
035890,서희건설
000157,두산2우B
008060,대덕
037460,삼지전자
024850,HLB이노베이션
095500,미래나노텍
012030,DB
200470,에이팩트
041920,메디아나
378340,필에너지
011930,신성이엔지
419530,SAMG엔터
064820,케이프
217590,티엠씨
033790,피노
009470,삼화전기
084010,대한제강
338840,와이바이오로직스
475560,더본코리아
108860,셀바스AI
416180,신성에스티
126560,현대퓨처넷
126720,수산인더스트리
432320,KB스타리츠
272450,진에어
417310,코람코더원리츠
452260,한화갤러리아
036200,유니셈
394280,오픈엣지테크놀로지
009155,삼성전기우
084690,대상홀딩스
190510,나무가
003520,영진약품
064550,바이오니아
194370,제이에스코퍼레이션
445090,에이직랜드
156100,엘앤케이바이오
024720,콜마홀딩스
034120,SBS
017860,DS단석
306200,세아제강
001940,KISCO홀딩스
474650,링크솔루션
104700,한국철강
025860,남해화학
007690,국도화학
093520,매커스
099430,바이오플러스
294570,쿠콘
035810,이지홀딩스
234340,헥토파이낸셜
403850,더핑크퐁컴퍼니
256840,한국비엔씨
270660,에브리봇
472850,폰드그룹
482630,삼양엔씨켐
003960,사조대림
128820,대성산업
006405,삼성SDI우
203400,에이비온
018250,애경산업
051500,CJ프레시웨이
017390,서울가스
484810,티엑스알로보틱스
243070,휴온스
380550,뉴로핏
204620,글로벌텍스프리
308430,셀비온
001820,삼화콘덴서
332570,PS일렉트로닉스
393890,더블유씨피
009160,SIMPAC
448280,에코아이
010690,화신
451760,컨텍
136480,하림
265520,AP시스템
092230,KPX홀딩스
286940,롯데이노베이트
005720,넥센
002810,삼영무역
092870,엑시콘
357550,석경에이티
452430,사피엔반도체
035600,KG이니시스
123890,한국자산신탁
0008Z0,에스엔시스
285490,노바텍
236200,슈프리마
950250,테라뷰
078020,LS증권
036890,진성티이씨
389260,대명에너지
002310,아세아제지
151860,KG에코솔루션
012860,모베이스전자
005090,SGC에너지
033270,유나이티드제약
0007C0,아크릴
023410,유진기업
034830,한국토지신탁
067080,대화제약
012210,삼미금속
043150,바텍
054950,제이브이엠
206640,바디텍메드
241590,화승엔터프라이즈
211270,AP위성
086390,유니테스트
084990,헬릭스미스
051980,중앙첨단소재
002320,한진
025770,한국정보통신
003200,일신방직
019210,와이지-원
338220,뷰노
088260,이리츠코크렙
011760,현대코퍼레이션
009290,광동제약
092730,네오팜
140670,알에스오토메이션
058820,CMG제약
314130,지놈앤컴퍼니
045390,대아티아이
033530,SJG세종
377190,디앤디플랫폼리츠
096760,JW홀딩스
002900,TYM
092790,넥스틸
007160,사조산업
372170,윤성에프앤씨
170920,엘티씨
065680,우주일렉트로
003120,일성아이에스
018310,삼목에스폼
051370,인터플렉스
009680,모토닉
334890,이지스밸류플러스리츠
402030,코난테크놀로지
002230,피에스텍
900140,엘브이엠씨홀딩스
006340,대원전선
003920,남양유업
176750,듀켐바이오
053300,한국정보인증
000490,대동
042370,비츠로테크
000320,노루홀딩스
900290,GRT
000680,LS네트웍스
474170,루미르
089980,상아프론테크
108380,대양전기공업
496320,본시스템즈
013890,지누스
418550,제이오
255220,SG
244920,에이플러스에셋
004360,세방
02826K,삼성물산우B
327260,RF머트리얼즈
078520,에이블씨엔씨
006805,미래에셋증권우
001340,PKC
065710,서호전기
382900,범한퓨얼셀
092460,한라IMS
061970,LB세미콘
950170,JTC
473980,노머스
267980,매일유업
034810,해성산업
300080,플리토
013120,동원개발
0030R0,대신밸류리츠
101170,우림피티에스
144960,뉴파워프라즈마
136490,선진
080580,오킨스전자
126600,BGF에코머티리얼즈
484120,도우인시스
100120,뷰웍스
194700,노바렉스
061090,세나테크놀로지
054210,이랜텍
254490,미래반도체
182400,엔케이맥스
126700,하이비젼시스템
035150,백산
122900,아이마켓코리아
114840,아이패밀리에스씨
322310,오로스테크놀로지
001750,한양증권
001460,BYC
108670,LX하우시스
005710,대원산업
003220,대원제약
241770,메카로
010580,에스엠벡셀
000430,대원강업
264850,이랜시스
005500,삼진제약
000050,경방
121800,비덴트
232680,라온로보틱스
035510,신세계 I&C
032940,원익
299030,하나기술
365270,큐라클
377460,위니아에이드
023760,한국캐피탈
084850,아이티엠반도체
033920,무학
214180,헥토이노베이션
0015S0,페스카로
082800,비보존 제약
389020,자람테크놀로지
217270,넵튠
243840,신흥에스이씨
115450,HLB테라퓨틱스
001630,종근당홀딩스
008490,서흥
007860,서연
037710,광주신세계
226320,잇츠한불
001790,대한제당
007570,일양약품
234030,싸이닉솔루션
457550,우진엔텍
452450,피아이이
030210,다올투자증권
371950,풍원정밀
043370,피에이치에이
079960,동양이엔피
235980,메드팩토
067390,아스트
042420,네오위즈홀딩스
083310,엘오티베큠
001130,대한제분
018000,유니슨
058430,포스코스틸리온
488280,에스투더블유
036800,나이스정보통신
293780,압타바이오
323990,박셀바이오
007460,에이프로젠
179290,엠아이텍
088800,에이스테크
001230,동국홀딩스
004980,성신양회
010955,S-Oil우
950140,잉글우드랩
118990,모트렉스
005950,이수화학
456010,아이씨티케이
086890,이수앱지스
237880,클리오
017890,한국알콜
095570,AJ네트웍스
112290,와이씨켐
041020,폴라리스오피스
054450,텔레칩스
260870,SK시그넷
439090,마녀공장
115310,인포바인
102120,어보브반도체
210980,SK디앤디
051360,토비스
036030,케이티알파
028100,동아지질
353810,이지바이오
005010,휴스틸
000540,흥국화재
094820,일진파워
361390,제노코
051905,LG생활건강우
025620,차AI헬스케어
053210,스카이라이프
290740,액트로
487570,HS효성
024060,흥구석유
003070,코오롱글로벌
241520,DSC인베스트먼트
095700,제넥신
334970,프레스티지바이오로직스
033160,엠케이전자
039840,디오
012200,계양전기
199820,제일일렉트릭
005680,삼영전자
117580,대성에너지
084680,이월드
064290,인텍플러스
092070,디엔에프
330860,네패스아크
073490,이노와이어리스
003350,한국화장품제조
461300,아이스크림미디어
272110,케이엔제이
083930,아바코
001045,CJ우
068930,디지털대성
044450,KSS해운
404990,신한서부티엔디리츠
417010,나노팀
219130,타이거일렉
000480,CR홀딩스
356680,엑스게이트
469610,이노테크
000860,강남제비스코
001780,알루코
036560,KZ정밀
102260,동성케미컬
000140,하이트진로홀딩스
003547,대신증권2우B
123410,코리아에프티
004430,송원산업
405100,큐알티
000520,삼일제약
005430,한국공항
003610,방림
010820,퍼스텍
011690,와이투솔루션
0004V0,엔비알모션
339770,교촌에프앤비
138360,협진
123860,아나패스
476040,오가노이드사이언스
215100,로보로보
271980,제일약품
003555,LG우
214420,토니모리
282880,코윈테크
080160,모두투어
425040,티이엠씨
039570,HDC랩스
003650,미창석유
038290,마크로젠
047560,이스트소프트
134380,미원화학
025000,KPX케미칼
038390,레드캡투어
298690,에어부산
102460,이연제약
001520,동양
048870,시너지이노베이션
377450,리파인
001080,만호제강
458650,성우
047310,파워로직스
107600,새빗켐
032620,유비케어
067000,조이시티
003720,삼영
217730,강스템바이오텍
432720,퀄리타스반도체
004380,삼익THK
002150,도화엔지니어링
053690,한미글로벌
109740,디에스케이
011785,금호석유화학우
053700,삼보모터스
046440,KG모빌리언스
290690,소룩스
182360,큐브엔터
012610,경인양행
234080,JW생명과학
217820,원익피앤이
060150,인선이엔티
004560,현대비앤지스틸
146320,비씨엔씨
091580,상신이디피
260970,에스앤디
004090,한국석유
009070,KCTC
121440,골프존홀딩스
101530,해태제과식품
322180,LS티라유텍
119610,인터로조
213500,한솔제지
016580,환인제약
036190,금화피에스시
138080,오이솔루션
025820,이구산업
251370,와이엠티
290550,디케이티
160980,싸이맥스
267320,나인테크
119830,아이텍
489460,바이오비쥬
016880,웅진
078150,HB테크놀러지
039860,나노엔텍
340450,지씨지놈
475230,엔알비
013580,계룡건설
489500,엘케이켐
381620,제닉스로보틱스
019010,베뉴지
004710,한솔테크닉스
001250,GS글로벌
015230,대창단조
143160,아이디스
008970,KBI동양철관
456070,이엔셀
360070,탑머티리얼
078070,유비쿼스홀딩스
000390,삼화페인트
092130,이크레더블
081000,일진다이아
054540,삼영엠텍
187660,현대ADM
016790,현대사료
085910,네오티스
272550,삼양패키징
086820,바이오솔루션
380540,옵티코어
256940,킵스파마
097955,CJ제일제당 우
322510,제이엘케이
108230,톱텍
006060,화승인더
230240,에치에프알
333430,일승
031440,신세계푸드
452280,한선엔지니어링
293480,하나제약
158430,아톤
400760,NH올원리츠
226590,엠디바이스
140610,엔솔바이오사이언스
014280,금강공업
073010,케이에스피
305090,마이크로디지탈
321370,센서뷰
042600,새로닉스
037560,LG헬로비전
220260,켐트로스
148150,세경하이테크
445180,퓨릿
067280,멀티캠퍼스
217330,싸이토젠
101970,우양에이치씨
293580,나우IB
166480,코아스템켐온
336680,탑런토탈솔루션
010100,한국무브넥스
002100,경농
264450,유비쿼스
011040,경동제약
264660,씨앤지하이테크
413630,씨피시스템
023910,대한약품
365330,에스와이스틸텍
000300,DH오토넥스
321550,티움바이오
418420,라온텍
071840,롯데하이마트
002170,삼양통상
052330,코텍
071200,인피니트헬스케어
098120,마이크로컨텍솔
001360,삼성제약
054920,한컴위드
000020,동화약품
263860,지니언스
018470,조일알미늄
069510,에스텍
040300,YTN
123690,한국화장품
214680,디알텍
234690,녹십자웰빙
297890,HB솔루션
003460,유화증권
462520,조선내화
090350,노루페인트
056090,시지메드텍
016450,한세예스24홀딩스
036220,오상헬스케어
388050,지투파워
053080,케이엔솔
100250,진양홀딩스
011000,진원생명과학
085670,뉴프렉스
308080,바이젠셀
203650,드림시큐리티
104480,티케이케미칼
003310,대주산업
297090,씨에스베어링
122990,와이솔
066620,국보디자인
033340,좋은사람들
059270,해성에어로보틱스
019440,세아특수강
086980,쇼박스
009270,신원
289930,웨이비스
317400,자이에스앤디
101330,모베이스
095190,이엠코리아
205100,엑셈
107590,미원홀딩스
008350,남선알미늄
092220,KEC
307750,국전약품
066410,버킷스튜디오
136150,원일티엔아이
00279K,아모레퍼시픽홀딩스3우C
049950,미래컴퍼니
046070,코다코
460940,피앤에스로보틱스
039830,오로라
240550,동방메디컬
439580,블루엠텍
021080,에이티넘인베스트
460850,동국씨엠
011560,세보엠이씨
008110,대동전자
035080,그래디언트
310200,애니플러스
045970,코아시아
008830,대동기어
337930,젝시믹스
002390,한독
382840,원준
096250,와이즈넛
357580,아모센스
122450,KX
005160,동국산업
493330,지에프아이
080420,모다이노칩
023600,삼보판지
217950,파마리서치바이오
294140,레몬
246710,티앤알바이오팹
002990,금호건설
250060,모비스
000700,유수홀딩스
464490,쿼드메디슨
007330,푸른저축은행
000970,한국주철관
104460,디와이피엔에프
070960,모나용평
229500,노브메타파마
259630,엠플러스
143240,사람인
008040,사조동아원
299170,더블유에스아이
013990,아가방컴퍼니
025950,동신건설
263720,디앤씨미디어
017510,세명전기
006620,동구바이오제약
003830,대한화섬
331740,아우토크립트
071280,로체시스템즈
417970,모델솔루션
086960,MDS테크
037070,파세코
009580,무림P&P
063080,컴투스홀딩스
081180,쎄크
012320,경동인베스트
019680,대교
408920,메쎄이상
027970,한국제지
298000,효성화학
417840,저스템
083420,그린케미칼
201490,미투온
004970,신라교역
317830,에스피시스템스
432470,케이엔에스
089470,HDC현대EP
041440,현대에버다임
005990,매일홀딩스
147830,제룡산업
089600,KT나스미디어
014710,사조씨푸드
094280,효성ITX
052710,아모텍
003480,한진중공업홀딩스
210540,디와이파워
064850,에프앤가이드
402490,그린리소스
309960,LB인베스트먼트
014950,삼익제약
052420,오성첨단소재
463020,뉴엔AI
289080,SV인베스트먼트
063570,NICE인프라
126730,코칩
142210,유니트론텍
084670,동양고속
307180,아이엘
068790,DMS
049720,고려신용정보
223250,드림씨아이에스
039560,다산네트웍스
005800,신영와코루
101670,하이드로리튬
208370,셀바스헬스케어
950130,엑세스바이오
029480,광무
011280,태림포장
078000,텔코웨어
007540,샘표
125020,티씨머티리얼즈
083500,에프엔에스테크
123040,엠에스오토텍
091120,이엠텍
192440,슈피겐코리아
003100,선광
350520,이지스레지던스리츠
131030,옵투스제약
077500,유니퀘스트
255440,야스
004250,NPC
214390,경보제약
443670,에스피소프트
016710,대성홀딩스
096240,크레버스
000230,일동홀딩스
053580,웹케시
095720,웅진씽크빅
063170,서울옥션
059210,메타바이오메드
036710,심텍홀딩스
009780,엠에스씨
475580,에이럭스
015890,태경산업
010660,화천기계
251120,바이오에프디엔씨
248170,샘표식품
036420,콘텐트리중앙
377480,마음AI
032300,한국파마
024090,디씨엠
205500,넥써쓰
03473K,SK우
136540,윈스테크넷
424960,스마트레이더시스템
079430,현대리바트
074430,아미노로직스
049430,코메론
109610,에스와이
013570,디와이
078140,대봉엘에스
013310,아진산업
039980,폴라리스AI
035000,HS애드
011700,한신기계
054050,농우바이오
269620,시스웍
072870,메가스터디
044990,에이치엔에스하이텍
038110,에코플라스틱
048530,인트론바이오
030960,양지사
212560,네오오토
004150,한솔홀딩스
282720,금양그린파워
092190,서울바이오시스
084650,랩지노믹스
123330,제닉
052260,현대바이오랜드
366030,공구우먼
306040,에스제이그룹
099750,이지케어텍
049960,쎌바이오텍
205470,휴마시스
388870,파로스아이바이오
012800,대창
389030,지니너스
461030,아이엠비디엑스
172670,에이엘티
226400,오스테오닉
149950,아바텍
021820,세원정공
002200,한국수출포장
002620,제일파마홀딩스
004080,신흥
067990,도이치모터스
370090,퓨런티어
453450,그리드위즈
131370,알서포트
267290,경동도시가스
067830,세이브존I&C
014580,태경비케이
004140,동방
120030,조선선재
068240,다원시스
363280,티와이홀딩스
027710,팜스토리
016740,두올
278650,HLB바이오스텝
019180,티에이치엔
048550,SM C&C
044820,코스맥스비티아이
106190,하이텍팜
251630,브이원텍
232530,이엠티
105550,엣지파운드리
277880,티에스아이
007820,에스엠코어
005960,동부건설
139990,아주스틸
396470,워트
019550,SBI인베스트먼트
090850,현대이지웰
086670,비엠티
046120,오르비텍
246720,아스타
004840,DRB동일
006140,피제이전자
002460,HS화성
217500,러셀
007110,일신석재
015590,DKME
066590,우수AMS
039340,한국경제TV
054800,아이디스홀딩스
950220,네오이뮨텍
267850,아시아나IDT
051160,지어소프트
443250,레뷰코퍼레이션
002220,한일철강
079810,디이엔티
209640,와이제이링크
348150,고바이오랩
069460,대호에이엘
067900,와이엔텍
362320,청담글로벌
396300,세아메카닉스
014530,극동유화
024880,케이피에프
191420,테고사이언스
418470,KT밀리의서재
005860,한일사료
389140,포바이포
131400,이브이첨단소재
005870,휴니드
125210,아모그린텍
020120,키다리스튜디오
0015N0,아로마티카
063160,종근당바이오
101140,인바이오젠
093640,케이알엠
033290,로젠
017370,우신시스템
049520,유아이엘
078890,가온그룹
115500,케이씨에스
058850,KTcs
093190,빅솔론
187790,나노
086710,선진뷰티사이언스
311690,CJ 바이오사이언스
298540,더네이쳐홀딩스
013520,화승코퍼레이션
041590,플래스크
021320,KCC건설
026150,특수건설
355150,코스텍시스
004960,한신공영
413390,엠오티
